Country_Region,Confirmed,Deaths,Province_State
Afghanistan,209451,7896,False
Albania,334457,3598,False
Algeria,271496,6881,False
Andorra,47890,165,False
Angola,105288,1933,False
Antarctica,11,0,False
Antigua and Barbuda,9106,146,False
Argentina,10044957,130472,False
Armenia,447308,8727,False
Australia,232974,228,Australian Capital Territory
Australia,3915992,6529,New South Wales
Australia,105111,91,Northern Territory
Australia,1800236,2783,Queensland
Australia,883620,1365,South Australia
Australia,287507,256,Tasmania
Australia,2880559,7370,Victoria
Australia,1293461,952,Western Australia
Austria,5961143,21970,False
Azerbaijan,828825,10138,False
Bahamas,37491,833,False
Bahrain,710693,1553,False
Bangladesh,2037871,29445,False
Barbados,106798,579,False
Belarus,994037,7118,False
Belgium,766206,0,Antwerp
Belgium,505467,0,Brussels
Belgium,645338,0,East Flanders
Belgium,464722,0,Flemish Brabant
Belgium,519111,0,Hainaut
Belgium,419029,0,Liege
Belgium,351474,0,Limburg
Belgium,122942,0,Luxembourg
Belgium,202905,0,Namur
Belgium,63364,33814,Unknown
Belgium,173827,0,Walloon Brabant
Belgium,504980,0,West Flanders
Belize,70757,688,False
Benin,27999,163,False
Bhutan,62627,21,False
Bolivia,1194277,22365,False
Bosnia and Herzegovina,401729,16280,False
Botswana,329758,2801,False
Brazil,160433,2043,Acre
Brazil,337535,7242,Alagoas
Brazil,185668,2167,Amapa
Brazil,631976,14443,Amazonas
Brazil,1792572,31459,Bahia
Brazil,1453572,28157,Ceara
Brazil,897897,11844,Distrito Federal
Brazil,1323318,15041,Espirito Santo
Brazil,1898605,28036,Goias
Brazil,493391,11053,Maranhao
Brazil,878360,15087,Mato Grosso
Brazil,607356,11010,Mato Grosso do Sul
Brazil,4189760,65507,Minas Gerais
Brazil,871612,19021,Para
Brazil,707743,10542,Paraiba
Brazil,2918459,46018,Parana
Brazil,1156640,22686,Pernambuco
Brazil,424866,8354,Piaui
Brazil,585935,8715,Rio Grande do Norte
Brazil,2961756,41919,Rio Grande do Sul
Brazil,2752662,76844,Rio de Janeiro
Brazil,482910,7432,Rondonia
Brazil,182485,2180,Roraima
Brazil,1985888,22703,Santa Catarina
Brazil,6469442,179039,Sao Paulo
Brazil,359674,6502,Sergipe
Brazil,365538,4232,Tocantins
Brunei,279661,225,False
Bulgaria,1297523,38228,False
Burkina Faso,22056,396,False
Burma,633950,19490,False
Burundi,53631,38,False
Cabo Verde,63244,413,False
Cambodia,138719,3056,False
Cameroon,124392,1965,False
Canada,629269,5622,Alberta
Canada,396817,5249,British Columbia
Canada,0,1,Diamond Princess
Canada,13,0,Grand Princess
Canada,154712,2464,Manitoba
Canada,88866,834,New Brunswick
Canada,54757,318,Newfoundland and Labrador
Canada,11511,22,Northwest Territories
Canada,140793,794,Nova Scotia
Canada,3531,7,Nunavut
Canada,1601325,16234,Ontario
Canada,56523,93,Prince Edward Island
Canada,1320325,18160,Quebec
Canada,13,0,Repatriated Travellers
Canada,153651,1890,Saskatchewan
Canada,4989,32,Yukon
Central African Republic,15368,113,False
Chad,7679,194,False
Chile,183811,1961,Antofagasta
Chile,293632,2922,Araucania
Chile,79718,900,Arica y Parinacota
Chile,116955,718,Atacama
Chile,36352,222,Aysen
Chile,510730,4824,Biobio
Chile,211158,1951,Coquimbo
Chile,243060,2577,Los Lagos
Chile,148252,1411,Los Rios
Chile,67653,774,Magallanes
Chile,346804,3354,Maule
Chile,1967389,30869,Metropolitana
Chile,158355,1333,Nuble
Chile,221916,2821,OHiggins
Chile,113542,1173,Tarapaca
Chile,42,2,Unknown
Chile,492917,6461,Valparaiso
China,2275,7,Anhui
China,40774,20,Beijing
China,14715,11,Chongqing
China,17122,2,Fujian
China,1742,2,Gansu
China,103248,10,Guangdong
China,13371,2,Guangxi
China,2534,2,Guizhou
China,10483,6,Hainan
China,3292,7,Hebei
China,6603,18,Heilongjiang
China,9948,23,Henan
China,2876106,13467,Hong Kong
China,72131,4515,Hubei
China,7437,4,Hunan
China,8847,1,Inner Mongolia
China,5075,0,Jiangsu
China,3423,2,Jiangxi
China,40764,5,Jilin
China,3547,2,Liaoning
China,3514,121,Macau
China,1276,0,Ningxia
China,782,0,Qinghai
China,7326,5,Shaanxi
China,5880,10,Shandong
China,67040,595,Shanghai
China,7167,1,Shanxi
China,14567,12,Sichuan
China,4392,3,Tianjin
China,1647,0,Tibet
China,1521816,82195,Unknown
China,3089,3,Xinjiang
China,9743,4,Yunnan
China,11848,1,Zhejiang
Colombia,7851,265,Amazonas
Colombia,950809,18617,Antioquia
Colombia,17130,569,Arauca
Colombia,417897,10230,Atlantico
Colombia,203497,3276,Bolivar
Colombia,130254,2903,Boyaca
Colombia,119792,2580,Caldas
Colombia,1874877,30051,Capital District
Colombia,25704,1041,Caqueta
Colombia,43079,1029,Casanare
Colombia,76788,1854,Cauca
Colombia,109404,2694,Cesar
Colombia,18891,430,Choco
Colombia,122594,3961,Cordoba
Colombia,330221,7398,Cundinamarca
Colombia,2795,37,Guainia
Colombia,5683,105,Guaviare
Colombia,103346,3593,Huila
Colombia,58097,1548,La Guajira
Colombia,117751,3655,Magdalena
Colombia,107879,2609,Meta
Colombia,108552,3418,Narino
Colombia,125260,5192,Norte de Santander
Colombia,21998,791,Putumayo
Colombia,73182,2086,Quindio
Colombia,110026,2514,Risaralda
Colombia,10375,157,San Andres y Providencia
Colombia,295934,8382,Santander
Colombia,67157,1747,Sucre
Colombia,127417,4092,Tolima
Colombia,0,0,Unknown
Colombia,569412,15428,Valle del Cauca
Colombia,1964,22,Vaupes
Colombia,3477,65,Vichada
Comoros,9008,161,False
Congo (Brazzaville),25087,388,False
Congo (Kinshasa),95749,1464,False
Costa Rica,1209725,9245,False
Cote d'Ivoire,88263,834,False
Croatia,1269326,17987,False
Cuba,1112643,8530,False
Cyprus,650685,1330,False
Czechia,4618256,42491,False
Denmark,34658,28,Faroe Islands
Denmark,11971,21,Greenland
Denmark,3404407,8296,False
Diamond Princess,712,13,False
Djibouti,15690,189,False
Dominica,15760,74,False
Dominican Republic,660790,4384,False
Ecuador,1057121,36014,False
Egypt,515759,24812,False
El Salvador,201785,4230,False
Equatorial Guinea,17229,183,False
Eritrea,10189,103,False
Estonia,615433,2946,False
Eswatini,74267,1425,False
Ethiopia,500116,7572,False
Fiji,68898,883,False
Finland,1463644,8967,False
France,98041,413,French Guiana
France,78055,649,French Polynesia
France,201886,1010,Guadeloupe
France,229020,1092,Martinique
France,42004,187,Mayotte
France,80017,314,New Caledonia
France,494595,921,Reunion
France,5441,6,Saint Barthelemy
France,3452,2,Saint Pierre and Miquelon
France,12271,63,St Martin
France,3427,7,Wallis and Futuna
France,38618509,161512,False
Gabon,48981,306,False
Gambia,12598,372,False
Georgia,1827537,16971,False
Germany,5063979,19297,Baden-Wurttemberg
Germany,6741523,28680,Bayern
Germany,1430661,5564,Berlin
Germany,1113946,6506,Brandenburg
Germany,303612,968,Bremen
Germany,807013,3614,Hamburg
Germany,2928587,12436,Hessen
Germany,711570,2770,Mecklenburg-Vorpommern
Germany,3860773,13718,Niedersachsen
Germany,8048396,31400,Nordrhein-Westfalen
Germany,1769913,6971,Rheinland-Pfalz
Germany,492792,2132,Saarland
Germany,1955828,16814,Sachsen
Germany,961147,6286,Sachsen-Anhalt
Germany,1175406,3481,Schleswig-Holstein
Germany,883914,8298,Thuringen
Germany,0,0,Unknown
Ghana,171229,1462,False
Greece,5548487,34779,False
Grenada,19680,238,False
Guatemala,1238247,20182,False
Guinea,38267,467,False
Guinea-Bissau,8960,176,False
Guyana,73075,1298,False
Haiti,34202,860,False
Holy See,29,0,False
Honduras,472250,11111,False
Hungary,2196804,48762,False
Iceland,209137,263,False
India,10751,129,Andaman and Nicobar Islands
India,2339096,14733,Andhra Pradesh
India,66891,296,Arunachal Pradesh
India,746100,8035,Assam
India,851427,12303,Bihar
India,99370,1182,Chandigarh
India,1177804,14146,Chhattisgarh
India,11591,4,Dadra and Nagar Haveli and Daman and Diu
India,2007605,26523,Delhi
India,259167,4013,Goa
India,1277848,11046,Gujarat
India,1056770,10714,Haryana
India,312820,4213,Himachal Pradesh
India,479513,4785,Jammu and Kashmir
India,442579,5331,Jharkhand
India,4074536,40312,Karnataka
India,6831358,71589,Kerala
India,29425,231,Ladakh
India,11415,52,Lakshadweep
India,1054978,10777,Madhya Pradesh
India,8138129,148424,Maharashtra
India,139924,2149,Manipur
India,96788,1625,Meghalaya
India,238969,726,Mizoram
India,35988,782,Nagaland
India,1336717,9205,Odisha
India,175872,1975,Puducherry
India,785724,19289,Punjab
India,1315637,9656,Rajasthan
India,44325,500,Sikkim
India,3595123,38049,Tamil Nadu
India,841897,4111,Telangana
India,108034,940,Tripura
India,0,0,Unknown
India,2128222,23648,Uttar Pradesh
India,449488,7753,Uttarakhand
India,2118857,21533,West Bengal
Indonesia,6738225,160941,False
Iran,7572311,144933,False
Iraq,2465545,25375,False
Ireland,1704502,8708,False
Israel,4803824,12329,False
Italy,651674,3931,Abruzzo
Italy,199646,1021,Basilicata
Italy,631613,3347,Calabria
Italy,2444797,11791,Campania
Italy,2136671,19283,Emilia-Romagna
Italy,575033,5998,Friuli Venezia Giulia
Italy,2385069,12787,Lazio
Italy,661284,5880,Liguria
Italy,4118413,45558,Lombardia
Italy,714100,4399,Marche
Italy,101826,719,Molise
Italy,293808,1610,P.A. Bolzano
Italy,243951,1647,P.A. Trento
Italy,1719738,13828,Piemonte
Italy,1626850,9646,Puglia
Italy,509829,2923,Sardegna
Italy,1817733,12692,Sicilia
Italy,1589964,11574,Toscana
Italy,438301,2449,Umbria
Italy,50448,567,Valle d'Aosta
Italy,2692762,16672,Veneto
Jamaica,154416,3514,False
Japan,2100094,4285,Aichi
Japan,199130,588,Akita
Japan,277922,640,Aomori
Japan,1456535,3874,Chiba
Japan,314430,683,Ehime
Japan,198871,196,Fukui
Japan,1579850,3164,Fukuoka
Japan,401096,826,Fukushima
Japan,538509,1102,Gifu
Japan,437760,1077,Gunma
Japan,796053,1346,Hiroshima
Japan,1333535,4532,Hokkaido
Japan,1461481,3796,Hyogo
Japan,634322,1279,Ibaraki
Japan,277113,501,Ishikawa
Japan,233500,609,Iwate
Japan,251256,613,Kagawa
Japan,439610,877,Kagoshima
Japan,2207465,4249,Kanagawa
Japan,168352,584,Kochi
Japan,532492,1292,Kumamoto
Japan,674377,1645,Kyoto
Japan,457736,1038,Mie
Japan,534019,938,Miyagi
Japan,318969,773,Miyazaki
Japan,454729,861,Nagano
Japan,335188,635,Nagasaki
Japan,344394,855,Nara
Japan,452535,431,Niigata
Japan,301877,762,Oita
Japan,488838,838,Okayama
Japan,576111,926,Okinawa
Japan,2818795,8401,Osaka
Japan,22118,8,Port Quarantine
Japan,260131,489,Saga
Japan,1790744,3892,Saitama
Japan,372032,669,Shiga
Japan,166928,296,Shimane
Japan,862305,1375,Shizuoka
Japan,419841,1058,Tochigi
Japan,165538,411,Tokushima
Japan,4323708,7998,Tokyo
Japan,140744,260,Tottori
Japan,235567,312,Toyama
Japan,173,0,Unknown
Japan,237568,516,Wakayama
Japan,224910,355,Yamagata
Japan,311938,741,Yamaguchi
Japan,189249,401,Yamanashi
Jordan,1746997,14122,False
Kazakhstan,1498668,19071,False
Kenya,342937,5688,False
Kiribati,5014,18,False
"Korea, North",1,6,False
"Korea, South",30615522,34093,False
Kosovo,273312,3211,False
Kuwait,663860,2570,False
Kyrgyzstan,206708,2991,False
Laos,218023,758,False
Latvia,976255,6269,False
Lebanon,1232828,10841,False
Lesotho,34790,723,False
Liberia,8090,295,False
Libya,507187,6437,False
Liechtenstein,21432,89,False
Lithuania,1307448,9596,False
Luxembourg,317367,1220,False
MS Zaandam,9,2,False
Madagascar,67889,1423,False
Malawi,88707,2686,False
Malaysia,398660,4715,Johor
Malaysia,318825,2740,Kedah
Malaysia,260181,1424,Kelantan
Malaysia,145426,1203,Melaka
Malaysia,231174,1537,Negeri Sembilan
Malaysia,182784,1032,Pahang
Malaysia,239281,2125,Perak
Malaysia,19014,198,Perlis
Malaysia,307725,2064,Pulau Pinang
Malaysia,406937,3202,Sabah
Malaysia,324659,1788,Sarawak
Malaysia,1551065,10985,Selangor
Malaysia,133075,899,Terengganu
Malaysia,0,0,Unknown
Malaysia,470285,2865,W.P. Kuala Lumpur
Malaysia,22981,158,W.P. Labuan
Malaysia,32646,32,W.P. Putrajaya
Maldives,185738,311,False
Mali,33062,743,False
Malta,117610,828,False
Marshall Islands,15649,17,False
Mauritania,63668,997,False
Mauritius,296042,1044,False
Mexico,90837,3630,Aguascalientes
Mexico,175704,12508,Baja California
Mexico,128552,2780,Baja California Sur
Mexico,44242,2298,Campeche
Mexico,57462,2453,Chiapas
Mexico,172643,10239,Chihuahua
Mexico,1858660,44044,Ciudad de Mexico
Mexico,187173,9039,Coahuila
Mexico,70936,2255,Colima
Mexico,81548,3696,Durango
Mexico,368546,15219,Guanajuato
Mexico,119037,6879,Guerrero
Mexico,127406,8647,Hidalgo
Mexico,296024,20146,Jalisco
Mexico,743439,48238,Mexico
Mexico,115872,9037,Michoacan
Mexico,99708,5461,Morelos
Mexico,76268,3274,Nayarit
Mexico,422027,15503,Nuevo Leon
Mexico,157238,6404,Oaxaca
Mexico,221279,16748,Puebla
Mexico,185519,6426,Queretaro
Mexico,120075,4459,Quintana Roo
Mexico,252685,7666,San Luis Potosi
Mexico,182235,9972,Sinaloa
Mexico,201304,10349,Sonora
Mexico,221468,6182,Tabasco
Mexico,183092,8329,Tamaulipas
Mexico,60467,3142,Tlaxcala
Mexico,0,0,Unknown
Mexico,235708,17162,Veracruz
Mexico,142925,7010,Yucatan
Mexico,83365,3993,Zacatecas
Micronesia,23948,61,False
Moldova,611140,12003,False
Monaco,16121,67,False
Mongolia,1007900,2136,False
Montenegro,288808,2808,False
Morocco,1272490,16296,False
Mozambique,233214,2242,False
Namibia,171156,4090,False
Nauru,5247,1,False
Nepal,1001154,12020,False
Netherlands,44044,282,Aruba
Netherlands,11804,41,"Bonaire, Sint Eustatius and Saba"
Netherlands,45986,301,Curacao
Netherlands,216395,464,Drenthe
Netherlands,195741,341,Flevoland
Netherlands,292969,624,Friesland
Netherlands,1053625,2952,Gelderland
Netherlands,263961,368,Groningen
Netherlands,566571,2209,Limburg
Netherlands,1305321,3783,Noord-Brabant
Netherlands,1414184,3508,Noord-Holland
Netherlands,599261,1459,Overijssel
Netherlands,11020,91,Sint Maarten
Netherlands,0,2,Unknown
Netherlands,708169,1581,Utrecht
Netherlands,180656,402,Zeeland
Netherlands,1803128,5299,Zuid-Holland
New Zealand,7031,2,Cook Islands
New Zealand,792,0,Niue
New Zealand,2228291,2548,False
Nicaragua,15655,245,False
Niger,9508,315,False
Nigeria,266598,3155,False
North Macedonia,346852,9662,False
Norway,1479506,5213,False
Oman,399449,4628,False
Pakistan,44343,793,Azad Jammu and Kashmir
Pakistan,36047,378,Balochistan
Pakistan,12095,191,Gilgit-Baltistan
Pakistan,139844,1031,Islamabad
Pakistan,225115,6376,Khyber Pakhtunkhwa
Pakistan,524161,13618,Punjab
Pakistan,595806,8257,Sindh
Palau,5991,9,False
Panama,1031731,8609,False
Papua New Guinea,46825,670,False
Paraguay,808401,19878,False
Peru,51138,1409,Amazonas
Peru,159243,7382,Ancash
Peru,46163,1694,Apurimac
Peru,291043,10600,Arequipa
Peru,55696,2407,Ayacucho
Peru,111937,4605,Cajamarca
Peru,170402,10884,Callao
Peru,146229,5287,Cusco
Peru,30172,1300,Huancavelica
Peru,60660,2976,Huanuco
Peru,130224,9114,Ica
Peru,155282,7614,Junin
Peru,181814,11027,La Libertad
Peru,129893,9486,Lambayeque
Peru,2110001,96723,Lima
Peru,64716,4471,Loreto
Peru,21303,888,Madre de Dios
Peru,64321,1718,Moquegua
Peru,29033,1140,Pasco
Peru,181347,13228,Piura
Peru,78232,4843,Puno
Peru,70196,3239,San Martin
Peru,66032,2256,Tacna
Peru,33866,1752,Tumbes
Peru,45826,3301,Ucayali
Peru,2784,195,Unknown
Philippines,4077452,66188,False
Poland,6444960,119010,False
Portugal,5570473,26266,False
Qatar,495090,688,False
Romania,3346046,67736,False
Russia,54892,1029,Adygea Republic
Russia,320691,8861,Altai Krai
Russia,40254,631,Altai Republic
Russia,129144,766,Amur Oblast
Russia,277116,1795,Arkhangelsk Oblast
Russia,134664,3121,Astrakhan Oblast
Russia,356814,6020,Bashkortostan Republic
Russia,168582,2336,Belgorod Oblast
Russia,188152,4146,Bryansk Oblast
Russia,155600,3124,Buryatia Republic
Russia,47057,1076,Chechen Republic
Russia,404282,8277,Chelyabinsk Oblast
Russia,7457,45,Chukotka Autonomous Okrug
Russia,110947,4716,Chuvashia Republic
Russia,103374,3631,Dagestan Republic
Russia,43591,553,Ingushetia Republic
Russia,364565,8711,Irkutsk Oblast
Russia,134774,3247,Ivanovo Oblast
Russia,22510,562,Jewish Autonomous Okrug
Russia,74999,1935,Kabardino-Balkarian Republic
Russia,201778,2080,Kaliningrad Oblast
Russia,60000,843,Kalmykia Republic
Russia,125656,1454,Kaluga Oblast
Russia,45835,629,Kamchatka Krai
Russia,51990,991,Karachay-Cherkess Republic
Russia,166710,1526,Karelia Republic
Russia,218261,2917,Kemerovo Oblast
Russia,229418,1565,Khabarovsk Krai
Russia,104162,2428,Khakassia Republic
Russia,263154,2608,Khanty-Mansi Autonomous Okrug
Russia,167182,1101,Kirov Oblast
Russia,195725,3264,Komi Republic
Russia,103604,1480,Kostroma Oblast
Russia,351663,11159,Krasnodar Krai
Russia,432528,11285,Krasnoyarsk Krai
Russia,126942,1552,Kurgan Oblast
Russia,152631,2540,Kursk Oblast
Russia,248849,3510,Leningrad Oblast
Russia,180099,3959,Lipetsk Oblast
Russia,22734,395,Magadan Oblast
Russia,52514,1087,Mari El Republic
Russia,86196,1396,Mordovia Republic
Russia,3439248,48306,Moscow
Russia,1142918,15476,Moscow Oblast
Russia,147748,3412,Murmansk Oblast
Russia,8423,104,Nenets Autonomous Okrug
Russia,512578,11843,Nizhny Novgorod Oblast
Russia,46439,1280,North Ossetia - Alania Republic
Russia,118176,1071,Novgorod Oblast
Russia,314863,5758,Novosibirsk Oblast
Russia,237613,4623,Omsk Oblast
Russia,137045,1981,Orel Oblast
Russia,243942,4030,Orenburg Oblast
Russia,227708,6235,Penza Oblast
Russia,464121,9262,Perm Krai
Russia,214604,1966,Primorsky Krai
Russia,127429,1965,Pskov Oblast
Russia,446218,11081,Rostov Oblast
Russia,152902,3499,Ryazan Oblast
Russia,1889985,37204,Saint Petersburg
Russia,220267,2142,Sakha (Yakutiya) Republic
Russia,70212,834,Sakhalin Oblast
Russia,519743,8235,Samara Oblast
Russia,313794,6001,Saratov Oblast
Russia,147340,3196,Smolensk Oblast
Russia,252978,7128,Stavropol Krai
Russia,582157,10936,Sverdlovsk Oblast
Russia,140923,2530,Tambov Oblast
Russia,199811,2010,Tatarstan Republic
Russia,163415,983,Tomsk Oblast
Russia,191150,5366,Tula Oblast
Russia,186301,2772,Tver Oblast
Russia,265894,4371,Tyumen Oblast
Russia,54106,358,Tyva Republic
Russia,241017,3977,Udmurt Republic
Russia,229351,4820,Ulyanovsk Oblast
Russia,181641,3607,Vladimir Oblast
Russia,269046,6915,Volgograd Oblast
Russia,222415,3894,Vologda Oblast
Russia,484179,8621,Voronezh Oblast
Russia,154098,1060,Yamalo-Nenets Autonomous Okrug
Russia,193517,2896,Yaroslavl Oblast
Russia,193447,2379,Zabaykalsky Krai
Rwanda,133194,1468,False
Saint Kitts and Nevis,6597,47,False
Saint Lucia,30004,409,False
Saint Vincent and the Grenadines,9589,123,False
Samoa,16607,29,False
San Marino,23616,122,False
Sao Tome and Principe,6281,77,False
Saudi Arabia,830127,9618,False
Senegal,88926,1971,False
Serbia,2500142,17881,False
Seychelles,50665,172,False
Sierra Leone,7760,126,False
Singapore,2235294,1722,False
Slovakia,2667551,21035,False
Slovenia,1331707,7078,False
Solomon Islands,24575,153,False
Somalia,27324,1361,False
South Africa,4067067,102595,False
South Sudan,18368,138,False
Spain,1633494,15575,Andalusia
Spain,465284,5448,Aragon
Spain,265836,3460,Asturias
Spain,315314,1628,Baleares
Spain,1587186,10391,C. Valenciana
Spain,465160,2270,Canarias
Spain,162858,989,Cantabria
Spain,611185,8110,Castilla - La Mancha
Spain,848587,9433,Castilla y Leon
Spain,2682569,21125,Catalonia
Spain,24701,194,Ceuta
Spain,310495,2719,Extremadura
Spain,752348,4070,Galicia
Spain,111161,965,La Rioja
Spain,1989045,20608,Madrid
Spain,25460,170,Melilla
Spain,465199,2545,Murcia
Spain,258093,1762,Navarra
Spain,796454,8017,Pais Vasco
Spain,0,0,Unknown
Sri Lanka,672039,16830,False
Sudan,63829,5017,False
Summer Olympics 2020,865,0,False
Suriname,82467,1404,False
Sweden,32341,212,Blekinge
Sweden,81036,663,Dalarna
Sweden,76018,841,Gavleborg
Sweden,12356,101,Gotland
Sweden,113192,651,Halland
Sweden,35377,225,Jamtland Harjedalen
Sweden,92621,859,Jonkoping
Sweden,65694,455,Kalmar
Sweden,54019,445,Kronoberg
Sweden,52095,557,Norrbotten
Sweden,104344,628,Orebro
Sweden,101906,1031,Ostergotland
Sweden,357548,2996,Skane
Sweden,71803,794,Sormland
Sweden,620000,6239,Stockholm
Sweden,97754,823,Uppsala
Sweden,73008,515,Varmland
Sweden,62564,464,Vasterbotten
Sweden,58776,791,Vasternorrland
Sweden,81139,642,Vastmanland
Sweden,455748,3845,Vastra Gotaland
Switzerland,4413911,14210,False
Syria,57467,3164,False
Taiwan*,9970937,17672,False
Tajikistan,17786,125,False
Tanzania,42906,846,False
Thailand,4728182,33918,False
Timor-Leste,23419,138,False
Togo,39396,290,False
Tonga,16810,13,False
Trinidad and Tobago,189918,4355,False
Tunisia,1151126,29341,False
Turkey,17042722,101492,False
Tuvalu,2805,0,False
US,19790,232,Alabama
US,69860,727,Alabama
US,7485,103,Alabama
US,8091,109,Alabama
US,18704,261,Alabama
US,3030,54,Alabama
US,6551,132,Alabama
US,41421,680,Alabama
US,10859,172,Alabama
US,6755,89,Alabama
US,13009,219,Alabama
US,2259,39,Alabama
US,8553,107,Alabama
US,5162,93,Alabama
US,4428,72,Alabama
US,17185,245,Alabama
US,21291,279,Alabama
US,3604,76,Alabama
US,3776,64,Alabama
US,11804,261,Alabama
US,4738,110,Alabama
US,31520,398,Alabama
US,16507,245,Alabama
US,11031,259,Alabama
US,22522,345,Alabama
US,29837,362,Alabama
US,12367,179,Alabama
US,34229,692,Alabama
US,5887,100,Alabama
US,12033,154,Alabama
US,7969,172,Alabama
US,2309,54,Alabama
US,5728,110,Alabama
US,5866,79,Alabama
US,32660,531,Alabama
US,18379,256,Alabama
US,238727,2535,Alabama
US,4737,73,Alabama
US,30406,420,Alabama
US,9389,181,Alabama
US,47646,372,Alabama
US,32150,320,Alabama
US,3370,80,Alabama
US,5293,90,Alabama
US,116086,1060,Alabama
US,6093,116,Alabama
US,10113,160,Alabama
US,32967,410,Alabama
US,134986,1802,Alabama
US,6742,88,Alabama
US,73840,1010,Alabama
US,46540,551,Alabama
US,0,0,Alabama
US,2673,49,Alabama
US,6339,122,Alabama
US,9264,142,Alabama
US,6527,79,Alabama
US,13030,100,Alabama
US,78112,482,Alabama
US,33302,441,Alabama
US,3176,55,Alabama
US,28602,397,Alabama
US,14611,253,Alabama
US,70976,854,Alabama
US,0,0,Alabama
US,24154,480,Alabama
US,4397,61,Alabama
US,3659,48,Alabama
US,9427,141,Alabama
US,1332,5,Alaska
US,2003,3,Alaska
US,124334,612,Alaska
US,13021,47,Alaska
US,0,0,Alaska
US,1240,1,Alaska
US,2407,13,Alaska
US,1326,11,Alaska
US,1803,2,Alaska
US,2271,13,Alaska
US,33699,172,Alaska
US,798,1,Alaska
US,11995,29,Alaska
US,22694,130,Alaska
US,5148,27,Alaska
US,5899,13,Alaska
US,4952,15,Alaska
US,40792,277,Alaska
US,7617,7,Alaska
US,5532,17,Alaska
US,5794,22,Alaska
US,940,8,Alaska
US,1848,10,Alaska
US,3521,10,Alaska
US,675,0,Alaska
US,2482,21,Alaska
US,6,0,Alaska
US,0,0,Alaska
US,786,2,Alaska
US,983,5,Alaska
US,1757,13,Alaska
US,8320,34,American Samoa
US,36336,639,Arizona
US,39086,643,Arizona
US,52821,526,Arizona
US,21401,415,Arizona
US,14101,189,Arizona
US,2717,40,Arizona
US,5950,159,Arizona
US,1530296,18846,Arizona
US,67291,1669,Arizona
US,48374,971,Arizona
US,0,0,Arizona
US,317052,4301,Arizona
US,156974,1814,Arizona
US,19628,245,Arizona
US,0,0,Arizona
US,60313,1388,Arizona
US,71174,1257,Arizona
US,7009,95,Arkansas
US,6249,82,Arkansas
US,10722,283,Arkansas
US,77394,1002,Arkansas
US,11277,203,Arkansas
US,3595,57,Arkansas
US,1194,14,Arkansas
US,7284,123,Arkansas
US,3126,65,Arkansas
US,6412,92,Arkansas
US,5146,101,Arkansas
US,8055,148,Arkansas
US,2677,42,Arkansas
US,6794,105,Arkansas
US,6606,84,Arkansas
US,47352,388,Arkansas
US,18657,295,Arkansas
US,16702,246,Arkansas
US,5745,104,Arkansas
US,2071,41,Arkansas
US,3656,44,Arkansas
US,5638,84,Arkansas
US,42997,358,Arkansas
US,4488,82,Arkansas
US,3108,99,Arkansas
US,27083,581,Arkansas
US,5252,65,Arkansas
US,19801,201,Arkansas
US,5638,83,Arkansas
US,13058,161,Arkansas
US,4657,64,Arkansas
US,12797,231,Arkansas
US,4712,78,Arkansas
US,7280,76,Arkansas
